id,storeId,category,sub_category,name,brand,quantity,quantity_value,quantity_unit,quantity_items,quantity_total,primaryPrice,primaryPriceUnit,secondaryPrice,secondaryPriceUnit
640,1,Congelados,Gelados,gelado chocolate acucar,continente equilíbrio,emb. 500 ml,500.0,ml,1,500.0,2.59,un,5.18,lt
641,1,Congelados,Gelados,gelado belgian chocolate,häagen-dazs,emb. 460 ml,460.0,ml,1,460.0,5.79,un,12.59,lt
643,1,Congelados,Gelados,nuggets veggie croustis abobora mozzarella,bonduelle,emb. 305 gr,305.0,g,1,305.0,3.09,un,10.13,kg
651,1,Congelados,Gelados,gelado mini cone classico,cornetto,emb. 480 ml (8 un),60.0,ml,8,480.0,5.99,un,12.48,lt
653,1,Congelados,Gelados,gelado cheesecake morango,häagen-dazs,emb. 460 ml,460.0,ml,1,460.0,5.79,un,12.59,lt
655,1,Congelados,Gelados,chicken wings barbecue,iglo take away,emb. 300 gr,300.0,g,1,300.0,4.49,un,14.97,kg
656,1,Congelados,Gelados,crocantes mini veggie mexican,bonduelle,emb. 240 gr,240.0,g,1,240.0,2.99,un,12.46,kg
658,1,Congelados,Gelados,batata palitos pack poupanca,continente,emb. 2 kg,2000.0,g,1,2000.0,3.59,un,1.8,kg
659,1,Congelados,Gelados,pure batata noz moscada,continente,emb. 1 kg,1000.0,g,1,1000.0,2.49,un,2.49,kg
661,1,Congelados,Gelados,batata palitos finos,continente,emb. 1 kg,1000.0,g,1,1000.0,1.85,un,1.85,kg
663,1,Congelados,Gelados,batata palitos julienne airfryer,mccain,emb. 600 gr,600.0,g,1,600.0,3.19,un,5.32,kg
664,1,Congelados,Gelados,batata doce palitos forno,mccain,emb. 500 gr,500.0,g,1,500.0,4.99,un,9.98,kg
666,1,Congelados,Gelados,batata noisette,mccain,emb. 1 kg,1000.0,g,1,1000.0,4.24,un,4.24,kg
668,1,Congelados,Gelados,batata gomos mediterranean,mccain,emb. 750 gr,750.0,g,1,750.0,3.89,un,5.19,kg
669,1,Congelados,Gelados,pure batata,mccain,emb. 750 gr,750.0,g,1,750.0,3.59,un,4.79,kg
672,1,Congelados,Gelados,batata palitos tradition,mccain,emb. 1 kg,1000.0,g,1,1000.0,3.89,un,3.89,kg
673,1,Congelados,Gelados,batata cubos,continente,emb. 1 kg,1000.0,g,1,1000.0,1.99,un,1.99,kg
675,1,Congelados,Gelados,batata gratinada queijo,continente seleção,emb. 400 gr,400.0,g,1,400.0,3.49,un,8.73,kg
684,1,Congelados,Gelados,douradinhos peixe fornissimo,capitão iglo,emb. 300 gr (12 un),25.0,g,12,300.0,3.99,un,13.3,kg
687,1,Congelados,Gelados,filetes pescada panados gluten,pescanova,emb. 1 kg (12 un),83.33333333333333,g,12,1000.0,8.99,un,8.99,un
688,1,Congelados,Gelados,barrinhas pescada gluten,pescanova,"emb. 1,2 kg (38 a 42 un)",1200.0,g,1,1200.0,8.99,un,7.49,kg
695,1,Congelados,Gelados,peskitos pescada gluten,pescanova,emb. 1 kg,1000.0,g,1,1000.0,8.69,un,8.69,kg
698,1,Congelados,Gelados,douradinhos frango,capitão iglo,"emb. 1,075 gr (38 un)",0.028289473684210524,g,38,1.075,10.99,un,10.22,kg
704,1,Congelados,Gelados,filete pescada panado alho salsa,pescanova,emb. 400 gr (4 un),100.0,g,4,400.0,6.3,un,15.75,kg
706,1,Congelados,Gelados,veggie fingers,iglo green cuisine,emb. 284 gr (10 un),28.4,g,10,284.0,1.99,un,7.01,kg
708,1,Congelados,Gelados,tiras pota panadas,continente,emb. 500 gr,500.0,g,1,500.0,4.25,un,8.5,kg
709,1,Congelados,Gelados,douradinhos frango,capitão iglo,emb. 250 gr (10 un),25.0,g,10,250.0,3.49,un,13.96,kg
715,1,Congelados,Gelados,filetes pescada,pescanova,emb. 250 gr (2 un),125.0,g,2,250.0,3.63,un,14.52,kg
724,1,Congelados,Gelados,almondegas proteina vegetal,iglo green cuisine,emb. 240 gr (10 un),24.0,g,10,240.0,3.99,un,16.62,kg
725,1,Congelados,Gelados,hamburguer frango gluten,capitão iglo,emb. 480 gr (8 un),60.0,g,8,480.0,7.99,un,16.65,kg
727,1,Congelados,Gelados,mini hamburgueres beterraba linhaca,iglo green cuisine,emb. 270 gr (6 un),45.0,g,6,270.0,2.99,un,11.07,kg
728,1,Congelados,Gelados,hamburguer frango,continente,emb. 420 gr (6 un),70.0,g,6,420.0,3.99,un,9.5,kg
736,1,Congelados,Gelados,hamburguer panado vegan sabor frango,the vegetarian butcher,emb. 180 gr,180.0,g,1,180.0,4.19,un,23.28,kg
740,1,Congelados,Gelados,hamburguer powered by plants,continente,emb. 160 gr (2 un),80.0,g,2,160.0,2.99,un,18.69,kg
747,1,Congelados,Gelados,hamburguer carne mista duroc,meat heritage,2 un x 140 gr (280 gr),2.0,un,1,2.0,3.99,un,14.25,kg
748,1,Congelados,Gelados,almondegas,veggis,emb. 150 gr,150.0,g,1,150.0,4.59,un,30.6,kg
751,1,Congelados,Gelados,tranches salmao selvagem,iglo,4 un x 110 gr (440 gr),4.0,un,1,4.0,12.99,un,29.52,kg
754,1,Congelados,Gelados,bacalhau desfiado meses cura,riberalves,emb. 400 gr,400.0,g,1,400.0,4.89,un,12.22,kg
755,1,Congelados,Gelados,bacalhau desfiado demolhado,continente,emb. 500 gr,500.0,g,1,500.0,6.79,un,13.58,kg
756,1,Congelados,Gelados,medalhoes pescada cabo,pescanova,emb. 1 kg,1000.0,g,1,1000.0,13.39,un,13.39,kg
758,1,Congelados,Gelados,medalhoes salmao,pescanova,emb. 400 gr,400.0,g,1,400.0,11.69,un,29.22,kg
761,1,Congelados,Gelados,miolo camarao,pescanova,emb. 200 gr,200.0,g,1,200.0,4.59,un,22.95,kg
762,1,Congelados,Gelados,lombos bacalhau noruega demolhado,continente,emb. 800 gr,800.0,g,1,800.0,15.99,un,19.99,kg
764,1,Congelados,Gelados,miolo camarao gigante,pescanova,emb. 250 gr,250.0,g,1,250.0,6.99,un,27.96,kg
768,1,Congelados,Gelados,postas lombo bacalhau meses cura,riberalves,emb. 500 gr,500.0,g,1,500.0,11.69,un,23.38,kg
771,1,Congelados,Gelados,lombos bacalhau meses cura,riberalves,3 un x 266 gr (800 gr),3.0,un,1,3.0,24.99,un,31.24,kg
776,1,Congelados,Gelados,perninha frango congelada,continente,emb. 1 kg,1000.0,g,1,1000.0,3.99,un,3.99,kg
777,1,Congelados,Gelados,filetes dourada ultracongelada,iglo,2 un x 100 gr (200 gr),2.0,un,1,2.0,5.99,un,29.95,kg
782,1,Congelados,Gelados,medalhoes pescada cabo,continente,emb. 400 gr,400.0,g,1,400.0,3.69,un,9.23,kg
794,1,Congelados,Pizzas,pizza espinafres,ristorante,emb. 407 gr,407.0,g,1,407.0,4.99,un,12.79,kg
798,1,Congelados,Pizzas,pizza marguerita pack poupanca,continente,emb. 900 gr (3 un),300.0,g,3,900.0,3.59,un,3.99,kg
800,1,Congelados,Pizzas,pizza salame mozzarella pesto,ristorante,emb. 380 gr,380.0,g,1,380.0,4.99,un,13.86,kg
801,1,Congelados,Pizzas,pizza queijo fiambre,rústica,emb. 575 gr,575.0,g,1,575.0,6.9,un,12.0,kg
810,1,Congelados,Pizzas,pizza fiambre cogumelos,ristorante,emb. 370 gr,370.0,g,1,370.0,4.99,un,14.26,kg
812,1,Congelados,Pizzas,pizza salame grandissima,ristorante,emb. 540 gr,540.0,g,1,540.0,6.79,un,12.57,kg
813,1,Congelados,Pizzas,pizza forno di pietra fiambre queijo,buitoni forno di pietra,emb. 350 gr,350.0,g,1,350.0,4.86,un,13.89,kg
817,1,Congelados,Pizzas,pizza queijos grandissima,ristorante,emb. 560 gr,560.0,g,1,560.0,6.79,un,12.13,kg
823,1,Congelados,Gelados,mistura orientais,continente,emb. 750 gr,750.0,g,1,750.0,1.89,un,2.52,kg
825,1,Congelados,Gelados,falafel,iglo green cuisine,emb. 450 gr (26 un),17.307692307692307,g,26,450.0,4.99,un,11.09,kg
832,1,Congelados,Gelados,arroz,continente,emb. 300 gr,300.0,g,1,300.0,2.99,un,9.97,kg
846,1,Congelados,Gelados,soja pedacos molho mediterraneo,heura,emb. 180 gr,180.0,g,1,180.0,4.99,un,27.72,kg
849,1,Congelados,Gelados,bacalhau bras,riberalves,emb. 240 gr,240.0,g,1,240.0,4.99,un,20.79,kg
855,1,Congelados,Gelados,penne tomate mozzarella manjericao,iglo,emb. 300 gr,300.0,g,1,300.0,1.99,un,6.63,kg
861,1,Congelados,Gelados,pasteis bacalhau forno,riberalves,emb. 256 gr,256.0,g,1,256.0,4.99,un,19.49,kg
865,1,Congelados,Gelados,croquetes carne,continente,emb. 320 gr (10 un),32.0,g,10,320.0,2.79,un,8.72,kg
866,1,Congelados,Gelados,empadas galinha,continente,emb. 360 gr,360.0,g,1,360.0,3.79,un,10.53,kg
869,1,Congelados,Gelados,pasteis chaves,continente seleção,emb. 340 gr (4 un),85.0,g,4,340.0,3.79,un,11.15,kg
886,1,Congelados,Gelados,croissant simples,panike,emb. 20 un,1.0,un,1,1.0,15.74,un,10.49,kg
895,1,Congelados,Gelados,almondegas proteina vegetal,iglo green cuisine,emb. 240 gr (10 un),24.0,g,10,240.0,3.99,un,16.62,kg
896,1,Congelados,Gelados,fingers espinafres,iglo green cuisine,emb. 284 gr (10 un),28.4,g,10,284.0,2.99,un,10.53,kg
901,1,Congelados,Gelados,veggie bowls quinoa abobora,iglo green cuisine,emb. 350 gr,350.0,g,1,350.0,2.99,un,8.54,kg
906,1,Congelados,Gelados,hamburguer vegan sabor carne,the vegetarian butcher,emb. 218 gr,218.0,g,1,218.0,5.39,un,24.72,kg
910,1,Congelados,Gelados,gelado picolero morango chocolate vegan,solero,emb. 312 ml (4 un),78.0,ml,4,312.0,2.99,un,9.58,lt
918,1,Congelados,Gelados,panado frango powered by plants,continente,emb. 520 gr (4 un),130.0,g,4,520.0,5.99,un,11.52,kg
920,1,Congelados,Gelados,vegan,continente,emb. 460 ml,460.0,ml,1,460.0,8.95,un,19.46,lt
921,1,Congelados,Gelados,pizza forno di pietra caprese,buitoni forno di pietra,emb. 350 gr,350.0,g,1,350.0,4.86,un,13.89,kg
922,1,Congelados,Gelados,tempura,continente,emb. 400 gr,400.0,g,1,400.0,2.8,un,7.0,kg
927,1,Congelados,Gelados,soja pedacos molho mediterraneo,heura,emb. 180 gr,180.0,g,1,180.0,4.99,un,27.72,kg
934,1,Congelados,Gelados,waffles,continente,emb. 8 un,1.0,un,1,1.0,2.99,un,12.46,kg
946,1,Congelados,Gelados,bolo aniversario infantil gluten,san martín,emb. 750 gr,750.0,g,1,750.0,14.29,un,19.05,kg
952,1,Congelados,Gelados,bolo red velvet,san martín,emb. 625 gr,625.0,g,1,625.0,9.8,un,15.68,kg
965,1,Congelados,Gelados,bolo,san martín,emb. 350 gr,350.0,g,1,350.0,7.99,un,22.19,kg
968,1,Bio Eco e Saudável,Vegetariano e Vegan,infusao cidreira saquetas,continente,emb. 25 un,1.0,un,1,1.0,1.05,un,0.04,un
969,1,Bio Eco e Saudável,Vegetariano e Vegan,infusao camomila saquetas,continente,emb. 25 un,1.0,un,1,1.0,0.79,un,0.03,un
977,1,Bio Eco e Saudável,Vegetariano e Vegan,capsulas descafeinado int,buondi,emb. 10 un,1.0,un,1,1.0,3.29,un,0.33,un
979,1,Bio Eco e Saudável,Vegetariano e Vegan,capsulas cafe int,nescafé dolce gusto,emb. 64 un,1.0,un,1,1.0,19.49,un,0.3,un
981,1,Bio Eco e Saudável,Vegetariano e Vegan,capsulas cafe int,l'or,emb. 10 un,1.0,un,1,1.0,4.59,un,0.46,un
987,1,Bio Eco e Saudável,Vegetariano e Vegan,capsulas cafe bocage int,nicola,emb. 30 un,1.0,un,1,1.0,6.79,un,0.23,un
989,1,Bio Eco e Saudável,Vegetariano e Vegan,cafe grao torrado lote superior int,delta,emb. 1 kg,1000.0,g,1,1000.0,23.99,un,23.99,kg
991,1,Bio Eco e Saudável,Vegetariano e Vegan,bebida chocolate soluvel gluten,nesquik,emb. 1 kg,1000.0,g,1,1000.0,7.09,un,7.09,kg
992,1,Bio Eco e Saudável,Vegetariano e Vegan,capsulas cafe int,nicola,emb. 30 un,1.0,un,1,1.0,6.79,un,0.23,un
